name;votes;level
Принять закон о природной ренте и получении дивидендов гражданами страны за коммерческое использование природных ресурсов России;1961;Федеральный
Установить график работы государственных учреждений, ведущих прием граждан, в выходные дни (субботу и воскресенье);1961;Федеральный
Законодательно ограничить уровень заработной платы руководителей (топ-менеджеров) частных и государственных компаний с привязкой к минимальной заработной плате на подконтрольном предприятии;1960;Федеральный
Ужесточить ответственность врачей за ошибочный диагноз;1959;Федеральный
Запретить использование пластиковых упаковок, одноразовой посуды, целлофановых пакетов на территории Российской Федерации и перейти на упаковку из переработанного картона/бумаги;1955;Федеральный
Расприватизация земельных ресурсов и полезных ископаемых;1941;Федеральный
 Внести изменение в ст.137 Гражданского кодекса РФ в части определения животного как «вещи», заменив его понятием «тварности»;1940;Федеральный
Увеличить экспортные пошлины на древесину в несколько раз;1939;Федеральный
Ужесточить наказание за пропаганду нетрадиционных сексуальных отношений среди несовершеннолетних. Ввести уголовную ответственность в виде лишения свободы от 10 лет.;1930;Федеральный
Запретить производство и использование упаковки, не подлежащей дальнейшей переработке;1909;Федеральный
Ввести уголовную ответственность за управление автомобилями без прав для лиц, лишенных права на управление транспортными средствами;1905;Федеральный
Внести изменения в Уголовный кодекс РФ, добавив статью, предусматривающую ответственность за хищение бюджетных средств;1894;Федеральный
Сохранить национальное лесное наследие и ввести новые принципы лесного хозяйства;1893;Федеральный
Ввести уголовную ответственность за торговлю некачественным топливом;1889;Федеральный
Возродить запрет работы под руководством родственников, действовавший в СССР  ;1887;Федеральный
Ввести пожизненное заключение без права на условно-досрочное освобождение или помилование для наиболее опасных преступников;1885;Федеральный
Обязать ФНС учитывать не только стоимость имущества с учётом ежегодного коэффициента инфляции, но и с учётом ежегодного коэффициента износа этого имущества;1883;Федеральный
Назначить пособие по уходу за ребенком до трёх лет в размере прожиточного минимума для всех родителей независимо от социального статуса и региона проживания семьи;1874;Федеральный
Ограничить продажу природных ресурсов за рубеж;1873;Федеральный
Выделять временное жилье человеку, попавшему в трудную жизненную ситуацию, только на основании заключения комиссии органов социальной защиты;1868;Федеральный
Принять Федеральный закон об очистке акваторий РФ от затопленных водных объектов;1866;Федеральный
Отдать похоронный бизнес полностью под контроль государства;1864;Федеральный
Пересмотреть программу начального школьного образования;1857;Федеральный
Принять федеральную программу мер по поддержке «обманутых» участников долевого строительства (дольщиков);1847;Федеральный
Сделать выборы на всех уровнях открытыми и публиковать их результаты в интернете, чтобы каждый гражданин мог посмотреть правильно ли его посчитали;1845;Федеральный
Навсегда избавиться от назойливой телефонной рекламы, приняв новый закон;1843;Федеральный
Отменить финансирование партий, победивших на выборах;1839;Федеральный
Взыскивать с отбывающих наказание в виде лишения свободы за умышленные преступления расходы на их содержание;1839;Федеральный
Обязать застройщиков строить детские сады соразмерно количеству живущих детей в момент постройки микрорайона;1832;Федеральный
