name;startDate;endDate;votes
«Моя улица» в ЦАО: новый облик Садового кольца;11.03.2016;16.03.2016;134441
«Моя улица» в ЦАО: новый облик Нового Арбата;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Малой Дмитровки и Настасьинского переулка;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Вознесенского, Газетного и Никитского переулков;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Воздвиженки, Знаменки, Староваганьковского и Крестовоздвиженского переулков;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Бульварного кольца;11.03.2016;16.03.2016;133381
Новые площадки на фестивале славянского искусства «Русское поле»;14.04.2016;5.05.2016;195172
Парки ЗАО – отдых по решению москвичей (ул. Нежинская, д. 13, корп. 2);31.05.2016;3.07.2016;18777
Парки ЗАО – отдых по решению москвичей (Парковая зона в пределах: Сколковское шоссе – Вяземская улица – Беловежская улица);31.05.2016;3.07.2016;18777
Парки ЗАО – отдых по решению москвичей («Аллея Анны Герман»);31.05.2016;3.07.2016;18777
Как провести «Ночь кино»;16.06.2016;7.07.2016;190635
Как провести «Ночь кино»;16.06.2016;7.07.2016;190635
Фотоконкурс «Планета Москва»: выбор активных граждан;9.08.2016;21.08.2016;162088
Новый центр госуслуг «Мои документы» в Троицке;6.07.2015;27.07.2015;763
Новый центр госуслуг «Мои документы» в районе Сокольники;6.07.2015;27.07.2015;24593
Новый центр госуслуг «Мои документы» в районе Дорогомилово;6.07.2015;27.07.2015;21196
Новый центр госуслуг «Мои документы» в Головинском районе;24.09.2015;18.10.2015;23165
«Народный выбор» от «Активного гражданина»;28.06.2016;24.07.2016;192347
«Миллион деревьев» от «Активного гражданина»;23.03.2015;20.04.2015;193308
Программа фестиваля «Московское варенье»;9.06.2016;30.06.2016;193351
Программа фестиваля «Московское варенье»;9.06.2016;30.06.2016;193351
Что украсит освобождённые территории у станции метро «Марьино» (ул. Люблинская, д. 169)? Часть 3;2.03.2016;15.03.2016;175445
«Моя библиотека»: режим и правила работы;11.01.2016;21.01.2016;211668
«Моя библиотека»: обслуживание и сервис;11.01.2016;21.01.2016;240622
Госуслуги не выходя из дома;11.02.2016;11.03.2016;215567
День города в Москве - когда проводить?;29.06.2016;4.07.2016;139032
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Благоустройство улиц у Новодевичьего монастыря: оценка москвичей;19.11.2015;17.12.2015;253602
Новое в парке Олимпийской деревни;14.04.2015;4.05.2015;24038
Вакцинация домашних животных от бешенства;29.01.2016;29.02.2016;195680
Экскурсионная программа «Дома на Брестской»;22.03.2016;19.04.2016;213001
Экологический вернисаж;18.05.2015;8.06.2015;272158
Что украсит освобождённые территории у станции метро «Водный стадион» (ул. Адмирала Макарова, д. 45, стр. 3)? Часть 3;2.03.2016;15.03.2016;176631
Фитнес на городских улицах;14.04.2016;5.05.2016;178026
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Йога в Екатерининском парке;29.04.2016;22.05.2016;12730
Кто споет на главном выпускном страны?;18.02.2016;20.03.2016;6225
Лучший врач-терапевт Москвы;24.04.2016;5.06.2016;232062
Лучший врач-педиатр Москвы;26.04.2016;5.06.2016;46718
Лучшая детская медсестра Москвы;26.04.2016;5.06.2016;46718
Капремонт: информация для собственников;7.04.2016;28.04.2016;195591
Новый центр госуслуг «Мои документы» в районе Ясенево;6.07.2015;27.07.2015;22746
Московской молодежи — свой центр занятости;18.01.2016;18.02.2016;230395
Московская поликлиника: как сократить очереди?;24.03.2015;20.04.2015;278544
Новые экскурсии в Дни исторического и культурного наследия;24.03.2016;7.04.2016;186788
Wi-Fi В Московском метрополитене;8.04.2016;3.05.2016;214455
Музыканты на улицах Москвы;6.06.2014;13.06.2014;49017
Как провести «Ночь в музее»;13.04.2016;3.05.2016;197250
Лучший монумент Москвы - 2015;29.03.2016;26.04.2016;215435
«Миллион деревьев» от «Активного гражданина»;14.09.2015;13.10.2015;70%
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);29.07.2014;13.08.2014;112247
Движение на участке набережной Тараса Шевченко;26.02.2016;20.03.2016;19110
«Моя библиотека»: режим и правила работы;22.12.2015;21.01.2016;211668
Лучшая детская медсестра Москвы;26.04.2016;5.06.2016;46718
«Моя библиотека»: дополнительные услуги;16.01.2015;21.01.2016;229158
«Моя библиотека»: дополнительные услуги;16.01.2015;21.01.2016;229158
Электрички выходят в сеть;29.04.2015;20.05.2015;260247
«Миллион деревьев» от «Активного гражданина»;14.09.2015;13.10.2015;70%
«Моя библиотека»: обслуживание и сервис;11.12.15-21.01.2016;;240622
Образование и досуг в природных парках;9.11.2015;30.11.2015;232030
Магазины-роботы на столичных улицах;26.01.2015;3.02.2015;192249
Новый адрес для центра госуслуг района Южное Бутово;6.07.2015;27.07.2015;24273
Новый центр госуслуг «Мои документы» в районе Зябликово;6.07.2015;27.07.2015;27519
Москвичи голосуют за режим работы ярмарок выходного дня;9.02.2016;1.03.2016;208756
Первая велополоса столицы;11.09.2015;4.10.2015;250775
Парки столицы — отдых по решению москвичей;29.10.2015;8.11.2015;181453
